id,"partid","session","color",type,number_of_clicks,exploded,trial,payoff
1,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,12,0,2,12.0000
2,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,8,1,3,0.0000
3,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,6,1,4,0.0000
4,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,7,0,5,7.0000
5,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,9,0,6,9.0000
6,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,6,0,7,6.0000
7,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,10,0,8,10.0000
8,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,7,0,9,7.0000
9,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,9,0,10,9.0000
10,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,10,1,11,0.0000
11,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,8,0,12,8.0000
12,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,7,0,13,7.0000
13,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,8,0,14,8.0000
14,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,8,0,15,8.0000
15,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,7,0,16,7.0000
16,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,8,0,17,8.0000
17,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,9,0,18,9.0000
18,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,9,0,19,9.0000
19,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,5,1,20,0.0000
20,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,6,0,21,6.0000
21,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,8,0,22,8.0000
22,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,9,0,23,9.0000
23,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,9,0,24,9.0000
24,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,10,0,25,10.0000
25,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,10,0,26,10.0000
26,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,8,0,27,8.0000
27,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,9,0,28,9.0000
28,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,9,0,29,9.0000
29,"ki35r2boc","ki35r2boc11ro0vtfjqvsu6l61","blue",64,4,1,30,0.0000
30,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,1,10.0000
31,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,14,0,2,14.0000
32,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,8,1,3,0.0000
33,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,6,1,4,0.0000
34,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,5,10.0000
35,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,6,10.0000
36,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,7,10.0000
37,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,8,10.0000
38,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,9,10.0000
39,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,14,0,10,14.0000
40,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,1,11,0.0000
41,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,12,10.0000
42,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,7,0,14,7.0000
43,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,15,10.0000
44,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,11,0,16,11.0000
45,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,17,10.0000
46,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,18,10.0000
47,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,19,10.0000
48,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,5,1,20,0.0000
49,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,21,10.0000
50,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,22,10.0000
51,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,23,10.0000
52,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,11,0,24,11.0000
53,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,25,10.0000
54,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,26,10.0000
55,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,10,0,27,10.0000
56,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,12,0,28,12.0000
57,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,13,0,29,13.0000
58,"ujpjbqpp3","ujpjbqpp3uisfvu87vrdrdasg0","blue",64,4,1,30,0.0000
59,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,17,1,1,0.0000
60,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,19,0,2,19.0000
61,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,8,1,3,0.0000
62,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,6,1,4,0.0000
63,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,7,0,5,7.0000
64,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,17,0,6,17.0000
65,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,12,0,7,12.0000
66,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,12,1,8,0.0000
67,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,11,0,9,11.0000
68,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,15,0,10,15.0000
69,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,10,1,11,0.0000
70,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,16,0,12,16.0000
71,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,13,0,13,13.0000
72,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,20,0,14,20.0000
73,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,15,0,15,15.0000
74,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,20,0,16,20.0000
75,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,18,1,17,0.0000
76,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,20,0,18,20.0000
77,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,16,0,19,16.0000
78,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,5,1,20,0.0000
79,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,13,1,21,0.0000
80,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,15,0,22,15.0000
81,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,24,0,23,24.0000
82,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,26,0,24,26.0000
83,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,11,1,25,0.0000
84,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,14,1,26,0.0000
85,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,20,0,27,20.0000
86,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,14,0,28,14.0000
87,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,25,0,29,25.0000
88,"7jb97qdob","7jb97qdobtr6n3spml62j2j2n4","blue",64,4,1,30,0.0000
89,"cnfe9eclj","cnfe9eclj5049q634ch3de6go0","blue",64,17,1,1,0.0000
