id,"distribution_rating",mean_expl_rating,"partid"
1,"normal",10,"ki35r2boc"
2,"normal",15,"ujpjbqpp3"
3,"normal",18,"7jb97qdob"
4,"normal",35,"triuerqf6"
5,"normal",26,"6afs8711b"
6,"uniform",40,"1ov5hag2l"
7,"normal",12,"9b8e0utpq"
8,"normal",9,"em108k482"
9,"normal",10,"47ammrms8"
10,"normal",5,"9kddg7894"
11,"normal",6,"q16p4lsb2"
12,"normal",10,"5oiqme01a"
13,"normal",12,"78vda8njl"
14,"normal",12,"tmgc2k6fp"
15,"uniform",45,"67vvtm35c"
16,"uniform",25,"3gv8ih70r"
17,"normal",16,"784kb88hv"
18,"normal",25,"dm612rsma"
19,"normal",9,"5bu68gqq1"
20,"uniform",20,"lnmolup59"
21,"uniform",18,"428lrpo1d"
22,"normal",25,"uhbmkg4cc"
23,"normal",15,"hj5vrdu0r"
24,"uniform",14,"e4blimrd7"
25,"uniform",6,"gfdlsli7b"
26,"uniform",12,"fl1r2sbca"
27,"normal",25,"lqd1n3oc8"
28,"normal",28,"hn33o5veu"
29,"normal",16,"mqh5j35hb"
30,"uniform",20,"8344e8ie4"
31,"normal",4,"qnv5minjt"
32,"normal",8,"ephuob1hc"
