id,"partid","quest_label",rating,trial
1,"g1u4c7qhu","soep_faith",7,1
2,"g1u4c7qhu","soep_finance",2,2
3,"g1u4c7qhu","soep_health",4,3
4,"g1u4c7qhu","soep_leisure",5,4
5,"g1u4c7qhu","soep_occupation",1,5
6,"g1u4c7qhu","soep_driving",3,6
7,"sqk5o8hau","soep_gen",2,1
8,"g1u4c7qhu","soep_gen",3,1
9,"ujpjbqpp3","soep_gen",0,1
10,"ki35r2boc","soep_gen",5,1
11,"7jb97qdob","soep_gen",2,1
12,"bfk6luve6","soep_leisure",7,1
13,"dm5ooo2ji","soep_occupation",0,1
14,"dm5ooo2ji","Array",0,2
15,"dm5ooo2ji","soep_health",5,3
16,"bfk6luve6","soep_driving",2,2
17,"dm5ooo2ji","soep_finance",8,4
18,"bfk6luve6","soep_faith",5,3
19,"dm5ooo2ji","soep_driving",7,5
20,"bfk6luve6","soep_finance",4,4
21,"dm5ooo2ji","soep_faith",0,6
22,"bfk6luve6","soep_health",1,5
23,"dm5ooo2ji","soep_gen",7,1
24,"bfk6luve6","soep_occupation",6,6
25,"bfk6luve6","soep_gen",3,1
26,"triuerqf6","soep_gen",7,1
27,"t2798ipob","soep_gen",5,1
28,"6afs8711b","soep_gen",3,1
29,"dgmb6lekb","soep_gen",3,1
30,"tmugb51oo","soep_gen",6,1
31,"ucbs0s5j3","soep_gen",2,1
32,"eqc9bueh0","soep_gen",8,1
33,"j5f4h1ijt","soep_leisure",7,1
34,"j5f4h1ijt","soep_finance",6,2
35,"j5f4h1ijt","soep_faith",4,3
36,"j5f4h1ijt","soep_occupation",7,4
37,"j5f4h1ijt","soep_health",1,5
38,"j5f4h1ijt","soep_health",1,6
39,"j5f4h1ijt","soep_gen",7,1
40,"o0tlcqbue","soep_gen",0,1
41,"1ov5hag2l","soep_gen",7,1
42,"em108k482","soep_gen",3,1
43,"uu34013hf","soep_gen",7,1
44,"fllft8u6d","soep_gen",3,1
45,"9b8e0utpq","soep_gen",5,1
46,"47ammrms8","soep_gen",2,1
47,"50kdbjdis","soep_gen",2,1
48,"8bdr59pl1","soep_driving",3,1
49,"n9dll1u4h","soep_finance",0,1
50,"n9dll1u4h","Array",0,2
51,"n9dll1u4h","Array",0,3
52,"n9dll1u4h","Array",0,4
53,"n9dll1u4h","Array",0,5
54,"n9dll1u4h","Array",0,6
55,"n9dll1u4h","Array",0,7
56,"n9dll1u4h","Array",0,8
57,"8bdr59pl1","soep_leisure",9,2
58,"i9iu6lql8","soep_gen",10,1
59,"8bdr59pl1","soep_occupation",9,3
60,"n9dll1u4h","soep_gen",6,1
61,"8bdr59pl1","soep_finance",8,4
62,"hmk2m55jr","soep_gen",6,1
63,"8bdr59pl1","soep_health",1,5
64,"8bdr59pl1","soep_faith",5,6
65,"8bdr59pl1","soep_gen",8,1
66,"n05oab02k","soep_gen",5,1
67,"1lbm51hce","soep_gen",3,1
68,"9kddg7894","soep_gen",5,1
69,"q16p4lsb2","soep_gen",5,1
70,"nndcg98ei","soep_gen",0,1
71,"p8fqd9rrc","soep_gen",2,1
72,"7d3k7n7ie","soep_gen",0,1
73,"dp0rlqqhv","soep_gen",1,1
74,"p0l8jrmmm","soep_leisure",8,1
75,"p0l8jrmmm","soep_finance",2,2
76,"p0l8jrmmm","soep_health",1,3
77,"p0l8jrmmm","soep_occupation",2,4
78,"5oiqme01a","soep_gen",2,1
79,"p0l8jrmmm","soep_faith",5,5
80,"p0l8jrmmm","soep_faith",5,6
81,"p0l8jrmmm","soep_gen",4,1
