id,"partid","session","color",type,number_of_clicks,exploded,trial,payoff
1,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,17,0,1,17.0000
2,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,26,1,2,0.0000
3,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,17,0,3,17.0000
4,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,18,0,4,18.0000
5,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,14,1,5,0.0000
6,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,21,0,6,21.0000
7,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,21,0,7,21.0000
8,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,23,0,8,23.0000
9,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,18,0,9,18.0000
10,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,5,1,10,0.0000
11,"potdg4sq11","otdg4sq11glvsdn9lupks95ib5","blue",64,13,0,2,13.0000
12,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,23,0,11,23.0000
13,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,22,0,12,22.0000
14,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,29,1,13,0.0000
15,"potdg4sq11","otdg4sq11glvsdn9lupks95ib5","blue",64,20,0,2,20.0000
16,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,21,0,14,21.0000
17,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,1,1,15,0.0000
18,"potdg4sq11","otdg4sq11glvsdn9lupks95ib5","blue",64,20,0,3,20.0000
19,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,26,0,16,26.0000
20,"potdg4sq11","otdg4sq11glvsdn9lupks95ib5","blue",64,20,0,4,20.0000
21,"p0bsq4m18n","0bsq4m18nik9kja4ek08ic5e75","blue",64,20,0,17,20.0000
22,"potdg4sq11","otdg4sq11glvsdn9lupks95ib5","blue",64,20,0,5,20.0000
