id,"distribution_rating","partid"
1,"12","p0bsq4m18n"
2,"44","potdg4sq11"
3,"12","pn7lq19f85"
4,"36","p5jvrmiq1e"
5,"36","p9clda2tqo"
6,"43","pqh0a40b2a"
7,"7","pa706ano51"
8,"25","pib2ugi7io"
9,"0","pvhskq4s3u"
10,"15","pvd1fom18l"
11,"8","p6vgj8j47e"
12,"28","pkde4f0mf8"
13,"34","pvqatr99fs"
14,"29","pta6ef8taf"
15,"21","p44mlpcodf"
16,"25","pn0skapa6g"
17,"10","p49vajs6in"
18,"36","pjpjok0rgp"
19,"12","p98sr2rm1c"
20,"12","p6c2cvue6n"
21,"41","pqk04quhs0"
22,"35","p6te8k4lv3"
23,"35","pcpvuare1q"
24,"18","pjo7jhtop6"
25,"14","pc13qomof4"
26,"14","p0b51o7qmr"
27,"12","pd5dmjd9lj"
28,"3","p48skc57bu"
29,"36","pe65t0jkjp"
30,"9","p8lu8afsvd"
31,"32","p01na4rhdm"
32,"22","p541quhi8d"
33,"0","pi2q4gtesv"
34,"20","pqfqb0ljjr"
35,"39","p5bromsu8c"
36,"18","pvttqk3a7b"
37,"29","p1plt7p642"
38,"10","pro129vh92"
39,"7","pf5a8b7j9h"
40,"14","pbjofj6u5d"
41,"29","p497cn32q0"
42,"42","pt7sshg3fh"
43,"41","p71s990p72"
44,"46","ps2p6c8vnf"
45,"36","poo90upiv7"
46,"14","ptqtu2doa0"
47,"7","p6dmjfib30"
48,"18","p189ctgjlb"
49,"42","pul13keuls"
50,"40","p513q9b31f"
51,"11","poi6eql5rt"
52,"4","pq7o1ji3vo"
53,"34","p9ehuu7pm3"
54,"12","p7eps5fav4"
55,"36","peb1ig0cu1"
56,"31","pru2esdmf3"
57,"7","pig2n9d3rp"
58,"3","pchqm0ghk5"
59,"15","pvp60obfoa"
60,"28","pmburr2gfa"
61,"34","pktgoj7obf"
62,"17","p6t53uthdf"
63,"24","pnkjrnatsa"
64,"34","pld7i21cc4"
65,"42","pq6o312jin"
66,"2","p9ersqcl1f"
67,"7","p73l4009vr"
68,"17","pij32af8h3"
69,"4","pqdlmj9p6q"
70,"42","p4sjeoeibp"
71,"39","p7d0m87pkq"
72,"43","ptrrburgl2"
73,"17","p5pla4fudv"
74,"5","phht84hjos"
75,"31","pfipul5omv"
76,"14","poh7l11esu"
77,"16","phverm18oo"
78,"9","pi00aas8kh"
79,"12","pr5maep7rv"
80,"18","pmo1m98t8t"
81,"34","povvpii4dt"
82,"1","ps28avdqr0"
83,"46","paiktcpf03"
84,"34","pse0nm7hu9"
85,"10","p7017dro0l"
86,"7","p3lf90su4e"
87,"13","pmvg0rlovc"
88,"25","pav8bblc7c"
89,"44","phpk7odsfu"
90,"33","pgaiibk1oi"
91,"22","plvpclq88q"
92,"0","p33h6kmmjv"
93,"33","pptrplovu7"
94,"30","p43orfp102"
95,"35","pm6ik277un"
96,"14","pe210vdc3c"
97,"9","p7mh5omcb7"
98,"0","po4rn86je3"
99,"15","pa8nsrju5u"
100,"34","pv9ctacbi5"
101,"18","pdv2ibjejn"
102,"17","pmvglhns1p"
103,"11","p3hikhm3tk"
104,"12","p5qt4i8e34"
105,"36","pt496nc3ft"
106,"29","plv4iefs9s"
107,"14","p6me4o7rkg"
108,"10","pv6tcabu3q"
109,"16","pd06im8fjg"
110,"40","p36rt8tq3k"
111,"37","poc0dfi7r9"
112,"17","po4sspvsrm"
113,"11","pu8cl6ikfo"
114,"3","plua2fs49l"
115,"41","psik40o7g5"
116,"5","p69fskd9tv"
117,"14","p7n5pmr96k"
118,"14","pu36hqlrmj"
119,"11","p8378jjl8i"
120,"45","pi45oejfit"
121,"18","p76regp4bm"
122,"33","p73dpbq5ac"
123,"32","p0k93tfsv4"
124,"11","p9pttnb8qi"
125,"50","pd42584211"
126,"37","pc7b1bvors"
127,"46","p2gml4hphb"
128,"37","prtu7f1ehg"
129,"48","pc1kcoubum"
130,"10","psr7ph0mns"
131,"2","p2sjgcedoi"
132,"12","p1un37nagi"
133,"26","pok5suhevu"
134,"21","pj4agr4cbi"
135,"0","pt9l8b5q5k"
136,"30","p9ppntj1q9"
137,"15","pqpc74uav4"
138,"19","pl5sma6eb7"
139,"13","pigdgu4j8l"
140,"42","pubb288r77"
141,"32","pv2du6qjp3"
142,"14","p3h8qvps9e"
143,"43","pfhss5lfev"
144,"25","ploioja4c4"
145,"13","p6gd12kat1"
146,"11","p7nadkbl7t"
147,"41","pmlq0r2ik4"
148,"36","pm29tidlg8"
149,"15","p40rjqvr7p"
150,"13","p77fheroif"
151,"6","pfg8okhn71"
152,"21","pag2s2qvn1"
153,"25","pqa0rdrj4o"
154,"39","pmed09f63i"
155,"12","pdes2vgc0e"
156,"5","p70uj5vjp7"
157,"50","p3qiq3cvs7"
158,"0","pi9dg6b7gi"
159,"14","pmatinv1as"
160,"10","p9v7ccrnne"
161,"10","pdb48mjaam"
162,"30","p2lgn1v5oh"
163,"6","p3amd29mc0"
164,"11","pobpsb5ohp"
165,"21","pei5arja54"
166,"9","pj09e7mhg0"
167,"29","plrbt4dudu"
168,"9","pn04o5bf0d"
169,"29","pu9bj004m0"
170,"25","popno6qocv"
171,"4","puusfjf3d9"
172,"18","p1ruq0kcna"
173,"0","paomarumjs"
174,"0","po02mbu8v4"
175,"49","p4enb4d7f3"
176,"7","p3lm67dgfn"
177,"10","p66pkrah30"
178,"17","pjh96rd0hv"
179,"44","pbuvbaqpmp"
180,"7","psk1gqfigs"
181,"32","pta4p4cmm2"
182,"21","p871ada8ob"
183,"15","p1ittgop7n"
184,"35","p1o06oe1de"
185,"18","p8no32nq3l"
186,"43","p2pna17uj1"
187,"12","pgtj2romg3"
188,"41","pffr44qkeg"
189,"0","plogptsmmh"
190,"0","pjvjpu78k8"
191,"42","p33irj0ffk"
192,"46","pf34dn3044"
193,"46","plpduvto91"
194,"38","plns93vs7o"
195,"9","p8i61dg7aj"
196,"3","pqun4lc6ns"
197,"40","p1ah7u2g56"
198,"42","pet87fmvcr"
199,"16","prbmblmne0"
200,"34","p9lnrnlsms"
201,"42","pn65gj7s4h"
202,"18","p2me0e8isk"
203,"8","pbs523t724"
204,"29","pjbc976m1d"
205,"12","pbdpldpj73"
