id,"partid",age,"sex","job","education"
1,"p0bsq4m18n",37,"male","unemployed","high_school"
2,"potdg4sq11",40,"female","working","high_school"
3,"pn7lq19f85",26,"male","working","high_school"
4,"p5jvrmiq1e",22,"male","unemployed","high_school"
5,"p9clda2tqo",27,"female","student","bachelor"
6,"pqh0a40b2a",31,"male","unemployed","high_school"
7,"pa706ano51",35,"male","working","high_school"
8,"pib2ugi7io",36,"female","working","bachelor"
9,"pvhskq4s3u",46,"female","working","high_school"
10,"pkde4f0mf8",43,"male","working","high_school"
11,"pvd1fom18l",52,"female","unemployed","bachelor"
12,"p6vgj8j47e",42,"female","working","high_school"
13,"pvqatr99fs",30,"male","student","master"
14,"pta6ef8taf",37,"female","working","high_school"
15,"pn0skapa6g",31,"male","working","high_school"
16,"p49vajs6in",24,"male","working","high_school"
17,"p44mlpcodf",57,"male","working","high_school"
18,"p98sr2rm1c",24,"male","working","high_school"
19,"pjpjok0rgp",32,"male","working","high_school"
20,"p6c2cvue6n",36,"male","unemployed","high_school"
21,"pqk04quhs0",48,"male","working","bachelor"
22,"p6te8k4lv3",33,"female","working","professional"
23,"pjo7jhtop6",38,"male","working","professional"
24,"pcpvuare1q",29,"male","working","high_school"
25,"pc13qomof4",43,"male","working","high_school"
26,"pd5dmjd9lj",37,"female","working","high_school"
27,"pe65t0jkjp",30,"female","working","bachelor"
28,"p01na4rhdm",54,"male","working","bachelor"
29,"p48skc57bu",59,"female","working","professional"
30,"p8lu8afsvd",33,"female","working","high_school"
31,"p541quhi8d",57,"female","working","professional"
32,"pqfqb0ljjr",26,"male","working","high_school"
33,"p0b51o7qmr",33,"male","working","high_school"
34,"pi2q4gtesv",55,"female","working","professional"
35,"p5bromsu8c",47,"male","working","high_school"
36,"pvttqk3a7b",39,"male","working","bachelor"
37,"p1plt7p642",37,"male","working","bachelor"
38,"pf5a8b7j9h",46,"female","working","bachelor"
39,"pt7sshg3fh",23,"female","unemployed","master"
40,"pbjofj6u5d",31,"female","unemployed","high_school"
41,"pro129vh92",28,"male","working","professional"
42,"p497cn32q0",25,"male","student","bachelor"
43,"p71s990p72",30,"male","working","high_school"
44,"ps2p6c8vnf",34,"male","working","bachelor"
45,"ptqtu2doa0",35,"female","working","bachelor"
46,"poo90upiv7",48,"male","working","high_school"
47,"p6dmjfib30",56,"male","working","master"
48,"p189ctgjlb",55,"male","working","high_school"
49,"p513q9b31f",54,"male","working","primary"
50,"poi6eql5rt",42,"female","working","high_school"
51,"pul13keuls",72,"male","retired","high_school"
52,"pq7o1ji3vo",32,"female","working","professional"
53,"p7eps5fav4",29,"male","working","bachelor"
54,"p9ehuu7pm3",57,"female","working","bachelor"
55,"peb1ig0cu1",36,"female","working","high_school"
56,"pru2esdmf3",40,"female","unemployed","high_school"
57,"pchqm0ghk5",25,"male","working","high_school"
58,"pig2n9d3rp",55,"female","working","bachelor"
59,"pvp60obfoa",35,"female","working","bachelor"
60,"pmburr2gfa",37,"female","working","high_school"
61,"pnkjrnatsa",26,"female","working","master"
62,"p6t53uthdf",34,"female","unemployed","high_school"
63,"pktgoj7obf",32,"male","working","bachelor"
64,"pld7i21cc4",35,"male","working","high_school"
65,"pq6o312jin",46,"male","working","bachelor"
66,"p9ersqcl1f",49,"female","unemployed","high_school"
67,"p73l4009vr",46,"female","working","high_school"
68,"pij32af8h3",42,"male","working","bachelor"
69,"pqdlmj9p6q",32,"female","working","master"
70,"p4sjeoeibp",44,"female","working","high_school"
71,"p7d0m87pkq",47,"male","working","bachelor"
72,"ptrrburgl2",35,"male","working","master"
73,"phht84hjos",29,"male","working","high_school"
74,"p5pla4fudv",30,"female","working","master"
75,"pfipul5omv",49,"female","working","bachelor"
76,"phverm18oo",31,"male","working","bachelor"
77,"poh7l11esu",58,"female","working","high_school"
78,"pi00aas8kh",35,"male","working","bachelor"
79,"pmo1m98t8t",43,"female","working","bachelor"
80,"pr5maep7rv",41,"female","working","bachelor"
81,"povvpii4dt",49,"female","working","bachelor"
82,"ps28avdqr0",51,"female","working","high_school"
83,"paiktcpf03",31,"male","working","high_school"
84,"p7017dro0l",29,"male","working","bachelor"
85,"p3lf90su4e",32,"female","working","bachelor"
86,"pse0nm7hu9",31,"male","working","high_school"
87,"pmvg0rlovc",32,"female","working","high_school"
88,"pav8bblc7c",52,"female","working","doctor"
89,"phpk7odsfu",29,"male","working","high_school"
90,"plvpclq88q",63,"male","working","bachelor"
91,"pgaiibk1oi",46,"male","working","bachelor"
92,"p33h6kmmjv",36,"female","working","high_school"
93,"pptrplovu7",35,"female","working","professional"
94,"p43orfp102",40,"female","working","doctor"
95,"pm6ik277un",38,"male","working","master"
96,"pe210vdc3c",28,"female","working","bachelor"
97,"p7mh5omcb7",28,"female","student","high_school"
98,"pa8nsrju5u",35,"male","working","bachelor"
99,"pv9ctacbi5",32,"male","working","bachelor"
100,"po4rn86je3",33,"male","working","high_school"
101,"pdv2ibjejn",30,"female","working","high_school"
102,"pmvglhns1p",27,"female","working","high_school"
103,"p3hikhm3tk",33,"male","working","bachelor"
104,"p5qt4i8e34",38,"female","working","professional"
105,"pt496nc3ft",27,"female","working","high_school"
106,"plv4iefs9s",48,"female","unemployed","bachelor"
107,"p6me4o7rkg",40,"female","working","professional"
108,"pv6tcabu3q",26,"male","working","bachelor"
109,"pd06im8fjg",31,"male","working","bachelor"
110,"poc0dfi7r9",55,"male","retired","high_school"
111,"pu8cl6ikfo",35,"female","working","high_school"
112,"po4sspvsrm",43,"female","working","bachelor"
113,"plua2fs49l",57,"female","working","high_school"
114,"psik40o7g5",38,"female","working","bachelor"
115,"p69fskd9tv",30,"female","working","bachelor"
116,"pi45oejfit",19,"male","student","high_school"
117,"p8378jjl8i",45,"female","working","high_school"
118,"pu36hqlrmj",35,"female","working","bachelor"
119,"p7n5pmr96k",25,"male","working","professional"
120,"p76regp4bm",56,"male","working","bachelor"
121,"p0k93tfsv4",38,"male","working","professional"
122,"p9pttnb8qi",28,"female","working","high_school"
123,"pd42584211",44,"female","unemployed","bachelor"
124,"pc7b1bvors",32,"male","working","bachelor"
125,"p2gml4hphb",29,"male","unemployed","high_school"
126,"prtu7f1ehg",51,"male","working","high_school"
127,"pc1kcoubum",40,"male","working","professional"
