id,partid,start,end,duration,bonus,imcgrips,imcrl,done,session,qual_focused,cond_dist,task_order,current_task,device,imc
1,p0bsq4m18n,1576588889,1576589477,588,4.48,correct,correct,1,0bsq4m18nik9kja4ek08ic5e75,100,normal_high,order_11,10,desktop,2
2,potdg4sq11,1576588898,1576589826,928,5,correct,correct,1,otdg4sq11glvsdn9lupks95ib5,81,normal_low,order_12,10,desktop,2
3,p5jvrmiq1e,1576589011,1576590118,1107,4.54,correct,correct,1,5jvrmiq1eq5b7ktdlu1q7od8t7,100,normal_high,order_6,10,laptop,2
4,pn7lq19f85,1576589235,1576589893,658,3.77,correct,correct,1,n7lq19f853nhdor40dmo6essd6,82,normal_high,order_3,10,laptop,2
5,p9clda2tqo,1576589570,1576590223,653,4.22,correct,correct,1,9clda2tqo0smbpl4lbea258be6,100,normal_moderate,order_4,10,laptop,2
6,pqh0a40b2a,1576589720,1576590267,547,5.77,correct,correct,1,qh0a40b2avltjic5jg7nc6red1,100,normal_low,order_12,10,laptop,2
7,pa706ano51,1576589723,1576590282,559,4.09,correct,correct,1,a706ano51c7pn1c9nq5frnskk3,100,normal_high,order_4,10,desktop,2
8,pvhskq4s3u,1576589781,1576590651,870,5,correct,correct,1,vhskq4s3u96nsvmdhg2v15peu4,100,normal_moderate,order_11,10,desktop,2
9,pib2ugi7io,1576589952,1576590585,633,4.4,correct,correct,1,ib2ugi7iomv3cbtmenrq60tsh5,97,normal_high,order_10,10,laptop,2
10,pvd1fom18l,1576590399,1576591477,1078,3.56,correct,correct,1,vd1fom18lcmst4b40ge156e6s1,89,normal_high,order_10,10,laptop,2
11,pkde4f0mf8,1576590642,1576591294,652,4.09,correct,correct,1,kde4f0mf8t6dnti1081b2c2em6,100,normal_high,order_7,10,desktop,2
12,pta6ef8taf,1576590690,1576591543,853,6.08,correct,correct,1,ta6ef8tafc2vf1b1eo4vf257b7,99,normal_low,order_5,10,desktop,2
13,pvqatr99fs,1576590657,1576591359,702,4.5,correct,correct,1,vqatr99fsni55sd2vn1g55toh2,100,normal_moderate,order_10,10,laptop,2
14,p6vgj8j47e,1576590656,1576591346,690,3.69,correct,correct,1,6vgj8j47epb7i85k4sfo8kgqi0,100,normal_high,order_3,10,laptop,2
15,p44mlpcodf,1576590969,1576592222,1253,6.59,correct,correct,1,44mlpcodfd2689j7n39mgb3ra4,81,normal_low,order_6,10,desktop,2
16,pn0skapa6g,1576591100,1576591983,883,5.44,correct,correct,1,n0skapa6g6mocvbg0atua6v171,100,normal_low,order_9,10,desktop,2
17,p49vajs6in,1576591692,1576592205,513,4.51,correct,correct,1,49vajs6inq0l9gsegis7qpjc54,92,normal_high,order_9,10,laptop,2
18,p98sr2rm1c,1576591776,1576592303,527,4.06,correct,correct,1,98sr2rm1cautump3acsruisgp3,100,uniform,order_9,10,desktop,2
19,pjpjok0rgp,1576591791,1576592377,586,5.73,correct,correct,1,jpjok0rgp3nc6tg24da8pabs22,100,normal_low,order_4,10,desktop,2
20,p6c2cvue6n,1576591934,1576592437,503,3.67,correct,correct,1,6c2cvue6nq46ob6vgtn4olj6n1,100,normal_high,order_2,10,desktop,2
21,pqk04quhs0,1576592195,1576592872,677,6.06,correct,correct,1,qk04quhs0bbrrg1pnal92fqvb7,100,normal_low,order_5,10,desktop,2
22,p6te8k4lv3,1576592318,1576592921,603,4.7,correct,correct,1,6te8k4lv39qetmiu1d5q6t92g5,100,normal_moderate,order_3,10,desktop,2
23,pcpvuare1q,1576592433,1576593118,685,3.29,correct,correct,1,cpvuare1qsm864pkni11ebjh76,100,uniform,order_9,10,laptop,2
24,pjo7jhtop6,1576592485,1576593010,525,2.93,correct,correct,1,jo7jhtop6495esgr78ep5o3385,100,uniform,order_12,10,desktop,2
25,pc13qomof4,1576592496,1576593559,1063,4.46,correct,correct,1,c13qomof41jjr6cqjnklouk450,93,normal_high,order_3,10,laptop,2
26,p0b51o7qmr,1576592737,1576594042,1305,3.38,correct,correct,1,0b51o7qmrtmaih6h63p4j620m3,100,uniform,order_11,10,laptop,2
27,p48skc57bu,1576592856,1576594003,1147,4,correct,correct,1,48skc57buvhpmdcha4vk6e0v34,99,normal_moderate,order_4,10,laptop,2
28,pd5dmjd9lj,1576593028,1576593679,651,3.92,correct,correct,1,d5dmjd9ljishdkk0eol0kcdea6,95,normal_high,order_10,10,laptop,2
29,prop3u354n,1576593162,NA,NA,NA,NA,NA,NA,rop3u354n86q5hlq36d7704l90,NA,normal_low,order_6,1,NA,NA
30,pe65t0jkjp,1576593093,1576593852,759,5.04,correct,correct,1,e65t0jkjpjpvmcmj9cmi9skrs2,100,normal_low,order_12,10,laptop,2
31,pi2q4gtesv,1576593257,1576594091,834,3,correct,correct,1,i2q4gtesv9oe8ei3bt19cbtuc6,99,uniform,order_1,10,laptop,2
32,p01na4rhdm,1576593331,1576593890,559,3.67,correct,correct,1,01na4rhdmihtv8vrt4vor72l42,99,uniform,order_5,10,desktop,2
33,p8lu8afsvd,1576593344,1576593934,590,5.43,correct,correct,1,8lu8afsvd5l4fo356pcieae4r4,66,normal_high,order_12,10,laptop,2
34,p541quhi8d,1576593351,1576593938,587,4.83,correct,correct,1,541quhi8dno5qcdfe7vcpm0su7,99,normal_high,order_4,10,desktop,2
35,pqfqb0ljjr,1576593349,1576593962,613,5.15,correct,correct,1,qfqb0ljjr6vtsk6qbq30a20km6,89,normal_moderate,order_6,10,desktop,2
