id,"partid","size","time"
1,"p0bsq4m18n","57","27188"
2,"pqh0a40b2a","22","8946"
3,"ptqtu2doa0","19","9432"
4,"pvhskq4s3u","20","10807"
5,"p497cn32q0","41","13737"
6,"pqk04quhs0","23","15371"
7,"pn0skapa6g","18","11618"
8,"p0b51o7qmr","20","14894"
9,"p71s990p72","16","5865"
10,"p6dmjfib30","25","33585"
11,"p6c2cvue6n","27","7563"
12,"p01na4rhdm","28","10347"
13,"pul13keuls","17","20037"
14,"pa706ano51","42","12315"
15,"p541quhi8d","33","13787"
16,"p1plt7p642","35","14486"
17,"pf5a8b7j9h","22","13253"
18,"pig2n9d3rp","40","20933"
19,"poo90upiv7","28","27059"
20,"pru2esdmf3","21","14475"
21,"p513q9b31f","56","19910"
22,"pd5dmjd9lj","49","29563"
23,"pbjofj6u5d","35","10078"
24,"p6vgj8j47e","27","12385"
25,"p9clda2tqo","15","7548"
26,"pe65t0jkjp","41","17248"
27,"pro129vh92","20","27464"
28,"p8lu8afsvd","32","7534"
29,"pjpjok0rgp","22","17947"
30,"p6te8k4lv3","29","10323"
31,"p44mlpcodf","25","19431"
32,"p98sr2rm1c","26","6096"
33,"potdg4sq11","25","14983"
34,"p5bromsu8c","34","10008"
35,"pkde4f0mf8","16","22420"
36,"p9ehuu7pm3","37","9764"
37,"pjo7jhtop6","14","6971"
38,"pld7i21cc4","12","7675"
39,"pvqatr99fs","25","16851"
40,"pmburr2gfa","33","16487"
41,"p6t53uthdf","25","25208"
42,"pq6o312jin","42","10387"
43,"phht84hjos","30","9190"
44,"povvpii4dt","31","18394"
45,"pchqm0ghk5","23","11070"
46,"pij32af8h3","12","17963"
47,"p6me4o7rkg","20","9735"
48,"phverm18oo","18","8332"
49,"pv9ctacbi5","64","12668"
50,"p7017dro0l","45","12519"
51,"p3hikhm3tk","64","30073"
52,"pd06im8fjg","31","11264"
53,"po4sspvsrm","51","29376"
54,"pu8cl6ikfo","21","15467"
55,"plvpclq88q","40","18716"
56,"pr5maep7rv","20","14269"
57,"phpk7odsfu","20","11520"
58,"p73l4009vr","39","27535"
59,"pvd1fom18l","27","223244"
60,"pqa0rdrj4o","26","7991"
61,"p1un37nagi","26","9065"
62,"p2lgn1v5oh","42","10859"
63,"p8378jjl8i","25","19768"
64,"pi9dg6b7gi","30","7672"
65,"p9ppntj1q9","25","16678"
66,"prtu7f1ehg","25","10707"
67,"ploioja4c4","16","15456"
68,"p3h8qvps9e","21","12982"
69,"p6gd12kat1","36","10294"
70,"pmatinv1as","20","10851"
71,"p2sjgcedoi","42","26603"
72,"pse0nm7hu9","20","10955"
73,"plua2fs49l","36","29978"
74,"pfhss5lfev","26","13737"
75,"pm29tidlg8","24","53746"
76,"p3amd29mc0","23","13532"
77,"p3lf90su4e","35","9933"
78,"p7n5pmr96k","21","10938"
79,"pmed09f63i","28","12593"
80,"pubb288r77","30","7753"
81,"p0k93tfsv4","30","16331"
82,"p7mh5omcb7","20","17352"
83,"plrbt4dudu","40","12519"
84,"pu9bj004m0","22","29931"
85,"pcpvuare1q","38","15675"
86,"pjfq0p7baa","42","10906"
87,"pnpunvdb4o","33","12618"
88,"pbcgofmj9q","25","9910"
89,"po4aj9j1v6","33","9997"
90,"pspkd94r7m","34","12054"
91,"pspkd94r7m","34","9557"
92,"pc36g6gpk9","30","24150"
93,"pu5tsq87ao","64","18778"
94,"p1ah7u2g56","23","20422"
95,"p1o06oe1de","25","10661"
96,"pjbc976m1d","32","19233"
97,"p21kbvvmfc","26","8677"
98,"pbdpldpj73","27","21979"
99,"poorvvdi41","26","29832"
100,"pa7t5e20n4","26","15463"
101,"pl5sma6eb7","24","8139"
102,"pbs523t724","18","11226"
103,"pobpsb5ohp","19","10192"
104,"ptnulohtrd","22","14480"
