id,"distribution_rating","partid","confidence_rating"
1,"uniform","p0bsq4m18n","38"
2,"normal","pqh0a40b2a","30"
3,"normal","ptqtu2doa0","33"
4,"normal","pvhskq4s3u","18"
5,"normal","p497cn32q0","50"
6,"normal","pqk04quhs0","46"
7,"uniform","p0b51o7qmr","23"
8,"uniform","pn0skapa6g","24"
9,"normal","p71s990p72","29"
10,"normal","p6dmjfib30","47"
11,"normal","p6c2cvue6n","45"
12,"normal","p01na4rhdm","40"
13,"uniform","pul13keuls","36"
14,"normal","pa706ano51","39"
15,"uniform","p541quhi8d","38"
16,"uniform","p1plt7p642","17"
17,"normal","pf5a8b7j9h","37"
18,"uniform","pig2n9d3rp","11"
19,"normal","poo90upiv7","43"
20,"normal","pru2esdmf3","19"
21,"normal","p513q9b31f","49"
22,"uniform","pd5dmjd9lj","15"
23,"normal","pbjofj6u5d","42"
24,"normal","p6vgj8j47e","27"
25,"uniform","p9clda2tqo","14"
26,"uniform","pe65t0jkjp","28"
27,"normal","pro129vh92","26"
28,"normal","p8lu8afsvd","42"
29,"normal","pjpjok0rgp","33"
30,"normal","p6te8k4lv3","35"
31,"normal","p44mlpcodf","32"
32,"normal","p98sr2rm1c","33"
33,"normal","potdg4sq11","0"
34,"uniform","p5bromsu8c","38"
35,"normal","pkde4f0mf8","41"
36,"uniform","p9ehuu7pm3","39"
37,"normal","pjo7jhtop6","49"
38,"normal","pld7i21cc4","47"
39,"normal","pvqatr99fs","44"
40,"normal","pmburr2gfa","24"
41,"normal","p6t53uthdf","35"
42,"normal","pq6o312jin","44"
43,"normal","phht84hjos","47"
44,"normal","povvpii4dt","37"
45,"normal","pchqm0ghk5","47"
46,"normal","pij32af8h3","9"
47,"normal","p6me4o7rkg","35"
48,"normal","pv9ctacbi5","41"
49,"normal","phverm18oo","41"
50,"normal","p3hikhm3tk","47"
51,"uniform","p7017dro0l","15"
52,"normal","pd06im8fjg","32"
53,"normal","po4sspvsrm","41"
54,"normal","pu8cl6ikfo","36"
55,"normal","plvpclq88q","30"
56,"normal","pr5maep7rv","26"
57,"normal","phpk7odsfu","39"
58,"normal","p73l4009vr","37"
59,"uniform","pvd1fom18l","19"
60,"normal","pqa0rdrj4o","41"
61,"uniform","p8378jjl8i","25"
62,"normal","p1un37nagi","38"
63,"normal","p2lgn1v5oh","41"
64,"normal","p9ppntj1q9","42"
65,"normal","pi9dg6b7gi","50"
66,"normal","prtu7f1ehg","7"
67,"normal","ploioja4c4","39"
68,"normal","p3h8qvps9e","44"
69,"uniform","p6gd12kat1","31"
70,"normal","pmatinv1as","26"
71,"uniform","p2sjgcedoi","23"
72,"normal","pse0nm7hu9","39"
73,"normal","plua2fs49l","26"
74,"normal","pm29tidlg8","39"
75,"normal","pfhss5lfev","50"
76,"normal","p3amd29mc0","41"
77,"normal","p3lf90su4e","36"
78,"normal","p7n5pmr96k","7"
79,"normal","pmed09f63i","38"
80,"uniform","pubb288r77","46"
81,"normal","p0k93tfsv4","35"
82,"uniform","p7mh5omcb7","12"
83,"normal","plrbt4dudu","28"
84,"normal","pu9bj004m0","19"
85,"normal","pcpvuare1q","40"
86,"normal","pjfq0p7baa","28"
87,"normal","pnpunvdb4o","36"
88,"normal","pbcgofmj9q","50"
89,"normal","po4aj9j1v6","36"
90,"normal","pspkd94r7m","28"
91,"normal","pc36g6gpk9","41"
92,"uniform","pu5tsq87ao","37"
93,"normal","p1ah7u2g56","45"
94,"normal","p1o06oe1de","38"
95,"normal","pjbc976m1d","22"
96,"normal","p21kbvvmfc","50"
97,"normal","pbdpldpj73","35"
98,"normal","poorvvdi41","37"
99,"normal","pa7t5e20n4","24"
100,"uniform","pl5sma6eb7","9"
101,"uniform","pbs523t724","30"
102,"normal","pobpsb5ohp","41"
103,"normal","ptnulohtrd","35"
104,"normal","pvsgvkg69g","33"
105,"normal","pm6ik277un","35"
106,"normal","ph18v6t8tc","32"
107,"normal","poj79idcf0","36"
108,"normal","pta4p4cmm2","35"
109,"normal","puusfjf3d9","38"
110,"normal","p2gml4hphb","39"
111,"uniform","pfg8okhn71","31"
112,"normal","pbpefv3ks8","25"
113,"uniform","phsh405le5","27"
114,"normal","pei5arja54","45"
115,"normal","pet87fmvcr","36"
116,"normal","pjvjpu78k8","27"
117,"normal","p7djp63q4a","47"
118,"normal","pv2du6qjp3","31"
119,"normal","pp2rfput4o","38"
120,"uniform","poq7tt5vdc","33"
121,"normal","p6plqnfn40","37"
122,"normal","p2c0gce542","32"
123,"normal","p66pkrah30","32"
124,"normal","plogptsmmh","50"
125,"normal","p6nsqi5atj","50"
126,"uniform","prbmblmne0","14"
127,"uniform","p2me0e8isk","28"
128,"normal","paomarumjs","29"
129,"normal","pj09e7mhg0","44"
130,"normal","pjh96rd0hv","26"
131,"uniform","pt84g92e6n","28"
132,"uniform","pfghnipkmd","12"
133,"normal","ps4phe4v84","26"
134,"uniform","p3cg7q7aje","38"
135,"normal","p3dhe9nm4p","38"
136,"normal","pqb4420cef","50"
137,"uniform","pmo1m98t8t","20"
138,"uniform","pdnlfv0hlq","36"
139,"normal","pc7b1bvors","37"
140,"normal","peb1ig0cu1","36"
141,"normal","pdes2vgc0e","26"
142,"uniform","pj6ba4vf05","13"
143,"normal","p9lnrnlsms","37"
144,"normal","pdh9s8a00b","36"
145,"normal","p22t9djnso","30"
146,"uniform","popno6qocv","25"
147,"normal","p5pla4fudv","41"
148,"normal","pumsid4bdn","50"
149,"uniform","p8vndn27hi","30"
150,"normal","pg3kt868bu","21"
151,"uniform","plv4iefs9s","25"
152,"normal","pisuflku9h","34"
153,"normal","phvnhhumf3","32"
154,"uniform","pkd4jopsf3","11"
155,"normal","p43orfp102","39"
156,"uniform","phkoe53d87","30"
157,"normal","p7nadkbl7t","37"
158,"normal","paa8i86so5","44"
159,"uniform","pag2s2qvn1","7"
160,"uniform","pdb48mjaam","41"
161,"normal","phja4u7e5q","42"
162,"uniform","pqdm63n9np","38"
163,"uniform","pgtj2romg3","30"
164,"normal","pnkoaqnfhp","38"
165,"normal","pf34dn3044","43"
