id,"partid","quest_label",rating,trial
1,"p0bsq4m18n","urgency_7",2,1
2,"p0bsq4m18n","ss_6",1,2
3,"p0bsq4m18n","premeditation_2",3,3
4,"p0bsq4m18n","urgency_6",2,4
5,"p0bsq4m18n","urgency_8",2,5
6,"p0bsq4m18n","ss_11",3,6
7,"p0bsq4m18n","ss_1",3,7
8,"p0bsq4m18n","premeditation_1",3,8
9,"p0bsq4m18n","premeditation_11",3,9
10,"p0bsq4m18n","ss_12",2,10
11,"p0bsq4m18n","urgency_9",2,11
12,"p0bsq4m18n","premeditation_7",3,12
13,"p0bsq4m18n","premeditation_5",3,13
14,"p0bsq4m18n","ss_10",2,14
15,"p0bsq4m18n","urgency_4",2,15
16,"p0bsq4m18n","ss_9",2,16
17,"p0bsq4m18n","premeditation_9",3,17
18,"p0bsq4m18n","perseverance_1",3,18
19,"p0bsq4m18n","perseverance_2",2,19
20,"p0bsq4m18n","urgency_11",3,20
21,"p0bsq4m18n","urgency_10",2,21
22,"p0bsq4m18n","ss_5",2,22
23,"p0bsq4m18n","premeditation_8",3,23
24,"p0bsq4m18n","ss_8",1,24
25,"p0bsq4m18n","perseverance_9",3,25
26,"p0bsq4m18n","perseverance_4",3,26
27,"p0bsq4m18n","ss_3",2,27
28,"p0bsq4m18n","urgency_12",2,28
29,"p0bsq4m18n","perseverance_8",3,29
30,"p0bsq4m18n","premeditation_6",3,30
31,"p0bsq4m18n","urgency_2",3,31
32,"p0bsq4m18n","premeditation_4",3,32
33,"p0bsq4m18n","ss_4",2,33
34,"p0bsq4m18n","perseverance_6",3,34
35,"p0bsq4m18n","premeditation_3",4,35
36,"p0bsq4m18n","perseverance_10",2,36
37,"p0bsq4m18n","urgency_3",2,37
38,"p0bsq4m18n","ss_7",2,38
39,"p0bsq4m18n","ss_2",2,39
40,"p0bsq4m18n","premeditation_10",3,40
41,"p0bsq4m18n","perseverance_3",3,41
42,"p0bsq4m18n","perseverance_7",3,42
43,"p0bsq4m18n","perseverance_5",3,43
44,"p0bsq4m18n","urgency_1",2,44
45,"p0bsq4m18n","urgency_5",2,45
46,"pqh0a40b2a","urgency_4",2,1
